motion_id,member,vote
2025-11-police-seven-percent,Gary Baldwin,Against
2025-11-police-seven-percent,Andrew Beamer,For
2025-11-police-seven-percent,Alex Bierk,For
2025-11-police-seven-percent,Matt Crowley,Against
2025-11-police-seven-percent,Kevin Duguay,Against
2025-11-police-seven-percent,Dave Haacke,Against
2025-11-police-seven-percent,Joy Lachica,For
2025-11-police-seven-percent,Jeff Leal,Against
2025-11-police-seven-percent,Lesley Parnell,Against
2025-11-police-seven-percent,Keith Riel,For
2025-11-police-seven-percent,Don Vassiliadis,Against
2025-11-police-return-board,Gary Baldwin,Against
2025-11-police-return-board,Andrew Beamer,Against
2025-11-police-return-board,Alex Bierk,For
2025-11-police-return-board,Matt Crowley,For
2025-11-police-return-board,Kevin Duguay,Against
2025-11-police-return-board,Dave Haacke,For
2025-11-police-return-board,Joy Lachica,For
2025-11-police-return-board,Jeff Leal,Against
2025-11-police-return-board,Lesley Parnell,Against
2025-11-police-return-board,Keith Riel,For
2025-11-police-return-board,Don Vassiliadis,For
2025-11-legacy-three-million,Gary Baldwin,For
2025-11-legacy-three-million,Andrew Beamer,For
2025-11-legacy-three-million,Alex Bierk,For
2025-11-legacy-three-million,Matt Crowley,For
2025-11-legacy-three-million,Kevin Duguay,For
2025-11-legacy-three-million,Dave Haacke,For
2025-11-legacy-three-million,Joy Lachica,For
2025-11-legacy-three-million,Jeff Leal,For
2025-11-legacy-three-million,Lesley Parnell,For
2025-11-legacy-three-million,Keith Riel,For
2025-11-legacy-three-million,Don Vassiliadis,For
2025-11-library-operating-32k,Gary Baldwin,Against
2025-11-library-operating-32k,Andrew Beamer,Against
2025-11-library-operating-32k,Alex Bierk,Against
2025-11-library-operating-32k,Matt Crowley,For
2025-11-library-operating-32k,Kevin Duguay,Against
2025-11-library-operating-32k,Dave Haacke,Against
2025-11-library-operating-32k,Joy Lachica,Against
2025-11-library-operating-32k,Jeff Leal,Against
2025-11-library-operating-32k,Lesley Parnell,Against
2025-11-library-operating-32k,Keith Riel,Against
2025-11-library-operating-32k,Don Vassiliadis,Against
2025-11-library-capital-32k,Gary Baldwin,For
2025-11-library-capital-32k,Andrew Beamer,For
2025-11-library-capital-32k,Alex Bierk,For
2025-11-library-capital-32k,Matt Crowley,For
2025-11-library-capital-32k,Kevin Duguay,For
2025-11-library-capital-32k,Dave Haacke,For
2025-11-library-capital-32k,Joy Lachica,For
2025-11-library-capital-32k,Jeff Leal,For
2025-11-library-capital-32k,Lesley Parnell,For
2025-11-library-capital-32k,Keith Riel,For
2025-11-library-capital-32k,Don Vassiliadis,For
2025-11-contingency-cap-one-million,Gary Baldwin,Against
2025-11-contingency-cap-one-million,Andrew Beamer,Against
2025-11-contingency-cap-one-million,Alex Bierk,For
2025-11-contingency-cap-one-million,Matt Crowley,For
2025-11-contingency-cap-one-million,Kevin Duguay,Against
2025-11-contingency-cap-one-million,Dave Haacke,Against
2025-11-contingency-cap-one-million,Joy Lachica,For
2025-11-contingency-cap-one-million,Jeff Leal,Against
2025-11-contingency-cap-one-million,Lesley Parnell,Against
2025-11-contingency-cap-one-million,Keith Riel,For
2025-11-contingency-cap-one-million,Don Vassiliadis,Against
2025-06-trinity-overnight-269280,Gary Baldwin,For
2025-06-trinity-overnight-269280,Andrew Beamer,Against
2025-06-trinity-overnight-269280,Alex Bierk,For
2025-06-trinity-overnight-269280,Matt Crowley,For
2025-06-trinity-overnight-269280,Kevin Duguay,Against
2025-06-trinity-overnight-269280,Dave Haacke,Absent
2025-06-trinity-overnight-269280,Joy Lachica,For
2025-06-trinity-overnight-269280,Jeff Leal,Against
2025-06-trinity-overnight-269280,Lesley Parnell,Against
2025-06-trinity-overnight-269280,Keith Riel,For
2025-06-trinity-overnight-269280,Don Vassiliadis,Against
2025-06-housing-stability-250000,Gary Baldwin,For
2025-06-housing-stability-250000,Andrew Beamer,For
2025-06-housing-stability-250000,Alex Bierk,For
2025-06-housing-stability-250000,Matt Crowley,For
2025-06-housing-stability-250000,Kevin Duguay,For
2025-06-housing-stability-250000,Dave Haacke,Absent
2025-06-housing-stability-250000,Joy Lachica,For
2025-06-housing-stability-250000,Jeff Leal,For
2025-06-housing-stability-250000,Lesley Parnell,For
2025-06-housing-stability-250000,Keith Riel,For
2025-06-housing-stability-250000,Don Vassiliadis,For
2025-06-brock-285600,Gary Baldwin,For
2025-06-brock-285600,Andrew Beamer,For
2025-06-brock-285600,Alex Bierk,For
2025-06-brock-285600,Matt Crowley,For
2025-06-brock-285600,Kevin Duguay,For
2025-06-brock-285600,Dave Haacke,Absent
2025-06-brock-285600,Joy Lachica,For
2025-06-brock-285600,Jeff Leal,For
2025-06-brock-285600,Lesley Parnell,For
2025-06-brock-285600,Keith Riel,For
2025-06-brock-285600,Don Vassiliadis,For
2025-06-trinity-daytime-244800,Gary Baldwin,For
2025-06-trinity-daytime-244800,Andrew Beamer,Against
2025-06-trinity-daytime-244800,Alex Bierk,For
2025-06-trinity-daytime-244800,Matt Crowley,For
2025-06-trinity-daytime-244800,Kevin Duguay,Against
2025-06-trinity-daytime-244800,Dave Haacke,Absent
2025-06-trinity-daytime-244800,Joy Lachica,For
2025-06-trinity-daytime-244800,Jeff Leal,Against
